iter	Passed	Remaining
0	171	170871
1	177	88601
2	183	60823
3	190	47343
4	193	38463
5	195	32415
6	197	28048
7	201	24982
8	203	22415
9	205	20334
10	207	18618
11	208	17162
12	209	15937
13	211	14881
14	212	13973
15	214	13221
16	216	12519
17	217	11886
18	218	11306
19	220	10786
20	221	10318
21	222	9888
22	223	9494
23	224	9131
24	225	8796
25	226	8488
26	227	8203
27	228	7947
28	230	7705
29	231	7477
30	232	7260
31	233	7057
32	234	6867
33	235	6686
34	236	6516
35	237	6354
36	238	6200
37	239	6056
38	240	5918
39	241	5787
40	242	5669
41	244	5569
42	245	5457
43	246	5349
44	247	5245
45	248	5146
46	249	5052
47	250	4961
48	251	4873
49	252	4789
50	253	4710
51	254	4632
52	255	4560
53	256	4498
54	258	4435
55	259	4375
56	260	4310
57	261	4247
58	262	4185
59	263	4126
60	264	4068
61	265	4013
62	266	3963
63	267	3913
64	268	3866
65	269	3817
66	270	3770
67	272	3733
68	273	3693
69	274	3649
70	275	3607
71	276	3566
72	277	3526
73	278	3487
74	279	3449
75	280	3414
76	281	3379
77	282	3344
78	283	3309
79	284	3275
80	286	3250
81	287	3222
82	288	3186
83	289	3156
84	290	3126
85	291	3097
86	292	3068
87	293	3040
88	294	3014
89	295	2988
90	296	2961
91	297	2936
92	298	2912
93	299	2889
94	301	2874
95	302	2851
96	303	2828
97	304	2805
98	305	2783
99	306	2761
100	308	2742
101	309	2723
102	310	2703
103	311	2683
104	312	2662
105	313	2643
106	314	2628
107	316	2614
108	317	2597
109	318	2580
110	320	2565
111	321	2548
112	322	2531
113	323	2514
114	324	2498
115	325	2481
116	326	2465
117	327	2449
118	328	2434
119	332	2438
120	333	2423
121	334	2408
122	335	2393
123	336	2380
124	338	2366
125	339	2353
126	340	2338
127	341	2325
128	342	2312
129	343	2299
130	345	2291
131	347	2286
132	349	2276
133	350	2265
134	352	2255
135	353	2242
136	354	2229
137	355	2218
138	356	2207
139	357	2196
140	358	2185
141	360	2179
142	362	2171
143	363	2161
144	364	2151
145	366	2141
146	367	2132
147	368	2122
148	369	2111
149	370	2101
150	372	2091
151	373	2082
152	374	2074
153	377	2071
154	378	2062
155	379	2054
156	380	2044
157	382	2036
158	383	2027
159	385	2021
160	386	2012
161	387	2004
162	388	1995
163	391	1993
164	392	1985
165	393	1977
166	394	1969
167	396	1963
168	397	1955
169	398	1947
170	400	1939
171	401	1931
172	402	1924
173	405	1924
174	406	1918
175	408	1911
176	409	1904
177	410	1897
178	412	1890
179	413	1884
180	414	1877
181	416	1871
182	417	1865
183	420	1864
184	421	1858
185	423	1851
186	424	1845
187	425	1839
188	427	1832
189	428	1825
190	429	1819
191	430	1813
192	433	1810
193	435	1808
194	436	1802
195	437	1795
196	438	1788
197	440	1785
198	441	1778
199	443	1772
200	444	1765
201	445	1759
202	448	1761
203	449	1755
204	451	1750
205	453	1746
206	454	1740
207	455	1735
208	456	1729
209	458	1724
210	459	1718
211	460	1712
212	462	1709
213	464	1707
214	465	1701
215	467	1695
216	468	1690
217	469	1684
218	470	1679
219	472	1673
220	473	1668
221	474	1663
222	477	1663
223	478	1659
224	480	1653
225	481	1648
226	482	1643
227	483	1637
228	485	1633
229	486	1628
230	487	1624
231	489	1620
232	492	1620
233	493	1617
234	495	1613
235	497	1608
236	498	1604
237	499	1600
238	501	1595
239	502	1591
240	503	1587
241	505	1583
242	507	1579
243	508	1575
244	509	1571
245	511	1566
246	512	1562
247	513	1557
248	515	1553
249	516	1548
250	517	1544
251	519	1540
252	520	1538
253	522	1533
254	523	1529
255	524	1524
256	526	1522
257	527	1518
258	529	1513
259	530	1509
260	531	1505
261	533	1501
262	534	1498
263	536	1495
264	537	1490
265	538	1486
266	539	1482
267	541	1478
268	542	1474
269	543	1470
270	545	1466
271	546	1462
272	547	1458
273	549	1456
274	551	1453
275	552	1449
276	553	1445
277	554	1441
278	556	1437
279	557	1433
280	558	1429
281	559	1425
282	561	1421
283	562	1417
284	563	1413
285	565	1411
286	566	1408
287	568	1405
288	569	1401
289	570	1397
290	572	1394
291	573	1390
292	574	1386
293	575	1383
294	577	1379
295	579	1378
296	580	1374
297	581	1371
298	583	1367
299	584	1363
300	585	1359
301	586	1356
302	587	1352
303	589	1348
304	590	1345
305	591	1342
306	593	1339
307	594	1336
308	596	1333
309	597	1329
310	598	1326
311	599	1322
312	601	1319
313	602	1316
314	603	1312
315	605	1309
316	606	1306
317	607	1303
318	609	1301
319	611	1298
320	612	1295
321	613	1291
322	614	1288
323	616	1285
324	617	1282
325	618	1278
326	619	1275
327	621	1272
328	622	1269
329	624	1267
330	625	1264
331	627	1261
332	628	1258
333	629	1255
334	630	1252
335	631	1248
336	633	1245
337	634	1242
338	635	1239
339	637	1236
340	639	1235
341	640	1231
342	641	1228
343	642	1225
344	643	1222
345	645	1219
346	646	1216
347	647	1213
348	648	1210
349	649	1206
350	650	1203
351	652	1201
352	654	1199
353	655	1195
354	656	1192
355	657	1189
356	658	1186
357	659	1183
358	661	1180
359	662	1177
360	663	1174
361	664	1171
362	665	1168
363	667	1166
364	669	1163
365	670	1160
366	671	1157
367	672	1154
368	673	1151
369	674	1148
370	675	1146
371	677	1143
372	678	1140
373	679	1137
374	681	1135
375	682	1133
376	683	1130
377	685	1127
378	686	1124
379	687	1122
380	689	1119
381	690	1116
382	691	1113
383	692	1111
384	693	1108
385	695	1105
386	696	1103
387	698	1101
388	699	1098
389	700	1095
390	701	1093
391	703	1090
392	704	1087
393	705	1085
394	706	1082
395	708	1080
396	709	1077
397	711	1076
398	713	1074
399	714	1071
400	715	1068
401	716	1066
402	717	1063
403	719	1061
404	720	1058
405	721	1055
406	722	1053
407	724	1050
408	725	1048
409	727	1046
410	728	1043
411	729	1041
412	730	1038
413	732	1036
414	733	1034
415	734	1031
416	736	1029
417	737	1026
418	738	1024
419	741	1024
420	743	1022
421	744	1019
422	745	1016
423	747	1014
424	748	1012
425	749	1010
426	750	1007
427	752	1005
428	753	1002
429	754	1000
430	756	998
431	757	996
432	759	993
433	760	991
434	762	989
435	763	987
436	764	984
437	765	982
438	766	980
439	768	977
440	769	975
441	771	973
442	772	971
443	773	969
444	775	966
445	776	964
446	778	962
447	779	960
448	780	958
449	782	955
450	783	953
451	785	952
452	787	950
453	788	948
454	790	946
455	791	944
456	793	942
457	794	940
458	796	938
459	797	936
460	801	936
461	802	934
462	804	932
463	805	930
464	807	928
465	808	926
466	810	924
467	811	922
468	812	920
469	816	920
470	817	918
471	819	916
472	820	914
473	821	911
474	823	909
475	824	907
476	825	905
477	827	903
478	831	903
479	832	901
480	833	899
481	835	897
482	836	895
483	837	893
484	839	890
485	840	888
486	842	887
487	844	886
488	847	885
489	848	883
490	849	881
491	851	879
492	853	877
493	854	875
494	855	873
495	857	871
496	861	871
497	862	869
498	864	867
499	865	865
500	866	863
501	868	861
502	870	859
503	871	857
504	874	857
505	876	856
506	878	853
507	879	851
508	880	849
509	882	847
510	883	845
511	885	843
512	886	841
513	887	839
514	891	839
515	893	837
516	894	835
517	895	833
518	897	831
519	898	829
520	899	827
521	901	825
522	902	823
523	905	822
524	906	820
525	907	817
526	908	815
527	910	813
528	911	811
529	913	809
530	914	808
531	916	805
532	917	804
533	920	803
534	922	801
535	923	799
536	924	797
537	925	795
538	927	793
539	928	791
540	930	789
541	931	787
542	933	785
543	935	784
544	936	781
545	938	780
546	939	777
547	940	776
548	942	773
549	943	772
550	945	770
551	947	769
552	950	767
553	951	765
554	953	764
555	954	762
556	955	760
557	957	758
558	958	756
559	959	754
